population,image_index,image_id,class_index,snr_db,seed,family,mode,arm,header_accepted,body_crc_accepted,header_false_acceptance,header_fields_correct,payload_bits_correct,source_complete,source_correct,accepted_correct,source_bit_error_rate,candidate_prefix_scales,receiver_label,arithmetic_padding_reads,source_error,image_index_in_archive,prefix_sha256,source_pixels_sha256,received_sha256,transmitted_sha256,raw_payload_bits,actual_payload_bits,attempted_arithmetic_bits,arithmetic_length_field,raw_fallback,header_uses,data_uses,complex_uses,total_energy,header_payload_bits,header_crc_bits,header_tail_bits,header_coded_bits,data_crc_bits,data_tail_bits,data_mother_coded_bits,data_coded_bits,data_information_rate,psnr_db,lpips,dino
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2001,raw,7,raw_m7,1,1,0,1,1,1,1,1,0.0,7,0,0,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,e0ce66eefa0cf595c87f4228d7cb835d3e0a0615b5d2b324fd8205c7a40526a6,644c838ce10ae92bb9ba6a8a2098d6486841d84de173ab59e28ce53f866f2c4a,1860,1860,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,3764,5984,0.3145053475935829,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2001,raw,8,raw_m8,1,0,0,1,0,1,0,0,0.03627450980392157,8,0,0,,1,6b85d7bbf6da0f3d753981149106c2186e31411f19f0c41dfca7100067889576,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,293bb7eeb6dfd926e2c2b6ed018539e6b82f1452603b0ca97f4d515fe6d2497f,999b18434b568ac0d584796ab26ec33f851d8991c2058868c7b600e566b5851d,3060,3060,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,6164,5984,0.5150401069518716,11.942956924438477,0.2759380340576172,0.5793576836585999
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2001,raw,9,raw_m9,1,0,0,1,0,1,0,0,0.4872248427672956,9,0,0,,2,077d63ff3e0dfbfad1237ed9c8ae25590f7967e384a739c06bfd9f8ae72faef2,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,ec571fe911d41399c75095550424bf13d8ba858cce795dfa0d25746892b34e97,768e963ef9526a9de2ab3151a432a9479f18b81a1a79c2485d04493d09313445,5088,5088,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,10220,5984,0.8539438502673797,7.811697959899902,0.6555675268173218,0.06234366446733475
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2001,arithmetic,7,arithmetic_m7,1,1,0,1,1,1,1,1,0.0,7,0,30,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,c47b9e137821699515fcfa43badd44b71cb8efdfdbca0c67f79ceb4c3bd4160e,c4ca1ea9b34489f56fb53782cd837e1bdd8ad0e24a96f5b9e5dd7068a6d6a498,1860,1562,1562,1562,False,94,2966,3060,6120.0,25,16,6,188,16,6,3168,5932,0.2670262980445044,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2001,arithmetic,8,arithmetic_m8,1,0,0,1,0,1,0,0,0.35130718954248363,8,0,22,,3,d020e7a6004b0f4f072b659f611304d1492b5f27e1325afab4305a54bb1933b9,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,c14f753e8e33c19500c396e6c872a728d5344e8d31f1537dc36f04a036b2731f,532b78340e66b4b583792554507acab76b37ef973d3c4c32f035ed61239d776c,3060,2612,2612,2612,False,94,2966,3060,6120.0,25,16,6,188,16,6,5268,5932,0.4440323668240054,10.229637145996094,0.3964006006717682,0.5147131681442261
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2001,arithmetic,9,arithmetic_m9,1,0,0,1,0,1,0,0,0.5009827044025157,9,0,99,,4,a1cf6fccfbd94eb375fba3f4361cf9c5ef4c3a654c1a7d65b01137c7080b2579,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,0e8b72c8f6e2985ee803b71a885eda156fedad57b3495412eaba3259b1030d8e,4f0f8a361f855e77ea0322caa6d8e4e2512616f3a25b83f7d58df75b4b988564,5088,4214,4214,4214,False,94,2966,3060,6120.0,25,16,6,188,16,6,8472,5932,0.7140930546190155,7.561281204223633,0.7227662801742554,0.32856279611587524
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2002,raw,7,raw_m7,1,1,0,1,1,1,1,1,0.0,7,0,0,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,b97399d68b5c1db53408e4793419ad9c492e38c9f74f4bd55079c7b314a49891,644c838ce10ae92bb9ba6a8a2098d6486841d84de173ab59e28ce53f866f2c4a,1860,1860,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,3764,5984,0.3145053475935829,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2002,raw,8,raw_m8,1,0,0,1,0,1,0,0,0.0673202614379085,8,0,0,,5,6e08e52f552f11db9d996a8f46949a4685b51003ed7fd70d9fd8baf245d4fe3a,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,ca6e38c9a05f21ce99a7086b7427c21028fca27832e3f02bf95395251356b4dc,999b18434b568ac0d584796ab26ec33f851d8991c2058868c7b600e566b5851d,3060,3060,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,6164,5984,0.5150401069518716,11.405372619628906,0.3072032332420349,0.5608764886856079
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2002,raw,9,raw_m9,1,0,0,1,0,1,0,0,0.4772012578616352,9,0,0,,6,2e60e5ca9af29765ba84991f3bd40a511b4512db039c0324b1cd5e3696bdef96,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,e58f302d1023c214a9648e4fb25710c304cb32e8ed5e05b476812ef046b9be83,768e963ef9526a9de2ab3151a432a9479f18b81a1a79c2485d04493d09313445,5088,5088,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,10220,5984,0.8539438502673797,7.0808258056640625,0.6642554998397827,-0.0022289101034402847
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2002,arithmetic,7,arithmetic_m7,1,1,0,1,1,1,1,1,0.0,7,0,30,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,9d130ff6231f00d080590ae3f12503251f56c57e67d09e968e2154f3686583bb,c4ca1ea9b34489f56fb53782cd837e1bdd8ad0e24a96f5b9e5dd7068a6d6a498,1860,1562,1562,1562,False,94,2966,3060,6120.0,25,16,6,188,16,6,3168,5932,0.2670262980445044,12.33504867553711,0.2813071608543396,0.6454499363899231
